RECORD ID NUMBER,INPUT ADDRESS ,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,LONGITUDE ,LATITUDE,TIGERLINE ID,TIGERLINE ID SIDE,STATE CODE,COUNTY CODE,TRACT CODE,BLOCK CODE
Lake View Terrace Branch Library,"12002 Osborne Street, Lake View Terrace, 91342",Match,Non_Exact,"12002 OSBORNE ST, LAKE VIEW TERRACE, CA, 91342",-118.3782456,34.27662133,141824863,L,06,037,104124,2008
Arcadia Community Regional Park,"405 S. Santa Anita Ave., Arcadia, 91007",Match,Non_Exact,"405 S SANTA ANITA AVE, ARCADIA, CA, 91006",-118.031397,34.134469,141645038,R,06,037,430721,1011
Santa Fe Springs Library,"11700 Telegraph Road, Santa Fe Springs , 90670",Match,Non_Exact,"11700 TELEGRAPH RD, SANTA FE SPRINGS, CA, 90670",-118.0841288,33.94642419,142793317,R,06,037,502801,5001
Whittier AJCC,"9401 Painter Avenue, Whittier, 90605",No_Match,,"9401 PAINTER AVENUE, WHITTIER, 90605",-118.0461492,33.95330417,,,06,037,504200,2008
Pacoima Branch Library,"13605 Van Nuys Boulevard, Pacoima, 91331",No_Match,,"13605 VAN NUYS BOULEVARD, PACOIMA, 91331",-118.4293275,34.26142147,,,06,037,104404,2002
East L.A./West San Gabriel Valley Comprehensive AJCC,"5301 Whittier Blvd. 2nd Floor, Los Angeles, 90022",No_Match,,"5301 WHITTIER BLVD. 2ND FLOOR, LOS ANGELES, 90022",-118.1557154,34.02056137,,,06,037,531701,2008
Jefferson  - Vassie D. Wright Memorial Branch Library,"2211 W. Jefferson Boulevard, Los Angeles, 90018",No_Match,,"2211 W. JEFFERSON BOULEVARD, LOS ANGELES, 90018",-118.319209,34.02610381,,,06,037,219010,1009
Dexter Park,"11053 N. Trail Road, Sylmar, 91342",No_Match,,"11053 N. TRAIL ROAD, SYLMAR, 91342",-118.3732608,34.2954213,,,06,037,104124,3017
Charles S. Farnsworth Park,"568 Mount Curve Ave E, Altadena, 91001",No_Match,,"568 MOUNT CURVE AVE E, ALTADENA, 91001",-118.1320277,34.20033139,,,06,037,460101,2012
Los Nietos Community and Senior Center,"11640 E. Slauson Avenue, Whittier , 90606",No_Match,,"11640 E. SLAUSON AVENUE, WHITTIER , 90606",-118.0676184,33.96455632,,,06,037,502303,5016
Lennox Park,"10828 Condon Ave, Lennox, 90304",No_Match,,"10828 CONDON AVE, LENNOX, 90304",-118.3585667,33.93752449,,,06,037,601600,2000
Stephen Sorensen Park,"16801 E. Ave. P, Lake Los Angeles, 93591",No_Match,,"16801 E. AVE. P, LAKE LOS ANGELES, 93591",-117.8296301,34.60446881,,,06,037,900104,1018
Pearblossom Park,"33922 121st St E, Pearblossom, 93553",No_Match,,"33922 121ST ST E, PEARBLOSSOM, 93553",-117.9102552,34.50139096,,,06,037,911001,1135
West Los Angeles Regional Library,"11360 Santa Monica Boulevard, Los Angeles, 90025",No_Match,,"11360 SANTA MONICA BOULEVARD, LOS ANGELES, 90025",-118.4501867,34.04572885,,,06,037,267300,3000
Potrero Heights Park Community and Senior Center,"8051 Arroyo Drive, Montebello, 90640",No_Match,,"8051 ARROYO DRIVE, MONTEBELLO, 90640",-118.0944607,34.04358229,,,06,037,482522,1006
Slawson AJCC,"5500 Rickenbacker Rd., Bell, 90201",No_Match,,"5500 RICKENBACKER RD., BELL, 90201",-118.1686834,33.99088785,,,06,037,532304,2045
Crescenta Valley Community Regional Park,"3901 Dunsmore Ave., La Crescenta, 91214",No_Match,,"3901 DUNSMORE AVE., LA CRESCENTA, 91214",-118.2556283,34.22410165,,,06,037,300400,2003
Van Nuys Branch Library,"6250 Sylmar Ave, Van Nuys, 91401",Tie,,"6250 SYLMAR AVE, VAN NUYS, 91401",-118.4463392,34.18388738,,,06,037,128210,1008
