TRACT,TRACTFIPS,HWAV_EVNTS,HWAV_RISKV,HWAV_RISKS,HWAV_RISKR
75902,6059075902,35,2587.37727,30.73300671,Relatively Low
76001,6059076001,35,3314.955568,33.91166817,Relatively Low
76002,6059076002,35,501.5235618,18.31803263,Relatively Low
76102,6059076102,35,3943.151593,36.30428578,Relatively Low
76103,6059076103,35,4762.949434,39.16543785,Relatively Low
76104,6059076104,35,1903.567409,27.429482,Relatively Low
76105,6059076105,35,1803.231685,26.89792132,Relatively Low
76201,6059076201,35,2440.298485,30.0718261,Relatively Low
76202,6059076202,35,2189.305847,28.84697712,Relatively Low
76204,6059076204,35,2460.310616,30.15268991,Relatively Low
76205,6059076205,35,2227.720898,29.0610284,Relatively Low
76206,6059076206,35,1546.766661,25.39242734,Relatively Low
76208,6059076208,35,1998.993936,27.92061076,Relatively Low
