GEOID,heatrisk_class,Tree Canopy Class
06037273200,0,2
06037273200,0,3
06037273200,0,1
06037234800,1,1
06037234800,1,0
06037234800,1,0
06037234800,1,0
06037237202,1,1
06037237202,1,0
06037237202,1,0
06037237202,1,0
06037235100,1,1
06037235100,1,1
06037235100,1,1
06037235100,1,1
06037237201,1,0
06037237201,1,1
06037237201,1,1
06037234700,1,0
06037234700,1,0
06037234700,1,0
06037234700,1,0
06037232500,2,0
06037232500,2,1
06037232500,2,0
06037232500,2,1
06037234600,2,0
06037234600,2,0
06037234600,2,1
06037234600,2,0
06037234501,1,1
06037234501,1,1
06037703200,1,1
06037703200,1,2
06037703200,1,1
06037703200,1,2
06037275603,0,1
06037275603,0,1
06037275603,0,2
06037703002,1,1
06037703002,1,0
06037703002,1,1
06037275500,2,1
06037275500,2,2
06037275500,2,1
06037275500,2,1
06037703100,1,2
06037703100,1,2
06037703100,1,1
06037703100,1,0
06037702600,1,2
06037702600,1,1
06037275102,1,2
06037275102,1,2
06037275101,0,1
06037702802,0,2
06037702802,0,2
06037702700,0,2
06037702700,0,2
06037702700,0,2
06037232800,1,0
06037232800,1,0
06037229420,1,0
06037229420,1,1
06037232300,1,1
06037232300,1,0
06037232300,1,0
06037229300,2,0
06037229300,2,1
06037229300,2,0
06037229200,1,1
06037229200,1,1
06037228710,1,1
06037228710,1,1
06037232110,1,0
06037232110,1,0
06037232120,2,1
06037232120,2,0
06037232120,2,0
06037272202,0,0
06037272202,0,2
06037273700,0,3
06037273700,0,3
06037273700,0,2
06037702102,1,1
06037702102,1,2
06037702102,1,2
06037702102,1,2
06037272201,0,1
06037272201,0,1
06037272302,1,2
06037272302,1,1
06037273100,0,2
06037273100,0,2
06037273100,0,3
06037272100,1,2
06037272100,1,2
06037272100,1,2
06037272100,1,2
06037272100,1,3
06037272301,0,2
06037272301,0,2
06037272301,0,2
06037702202,0,2
06037702202,0,3
06037232200,1,1
06037232200,1,1
06037232200,1,0
06037228500,2,0
06037228500,2,0
06037228500,2,1
06037228600,2,0
06037228600,2,0
06037231710,1,1
06037231710,1,1
06037231710,1,0
06037231720,2,0
06037231720,2,0
06037231720,2,1
06037231800,2,0
06037231800,2,0
06037231800,2,0
06037228420,1,1
06037228420,1,0
06037228320,1,2
06037228320,1,1
06037228320,1,1
06037234502,0,0
06037234502,0,1
06037234502,0,1
06037236400,0,1
06037236400,0,2
06037236400,0,2
06037231500,1,0
06037231500,1,0
06037231500,1,0
06037702801,1,1
06037702502,1,1
06037702501,0,1
06037271801,0,2
06037271801,0,2
06037271801,0,0
06037269903,0,0
06037231400,1,1
06037231400,1,1
06037231400,1,0
06037236204,1,1
06037236204,1,1
06037234200,0,1
06037234200,0,1
06037234200,0,0
06037236203,1,1
06037236203,1,1
06037219500,0,1
06037219500,0,1
06037222500,1,1
06037222500,1,1
06037222500,1,1
06037228310,1,0
06037228310,1,1
06037228310,1,1
06037228310,1,1
06037228410,1,1
06037228410,1,0
